1 2 1c550400
3 2 1c550400
3 3 ec540400
3 2 9c550400
3 3 78533100
3 2 98533100
2 0 e0580400
1 3 1c550400
2 0 c0580400
1 0 70590400
1 0 58590400
1 0 3e590400
3 2 1c550400
2 2 0c550400
0 0 a8590400
3 2 1c550400
3 0 48590400
1 0 a8590400
3 3 184c3000
2 3 d4cc3000
1 3 ec540400
0 3 1c550400
0 3 a0550400
1 0 78590400
1 0 60590400
2 2 1c550400
0 2 60550400
0 2 d8540400
2 3 e8540400
0 2 10550400
1 0 88590400
2 2 20550400
1 2 ec540400
3 0 58590400
2 2 f4540400
1 2 60550400
1 0 40590400
0 2 80550400
3 0 3e590400
0 2 d8540400
1 2 1c550400
0 2 1c550400
3 0 a8590400
0 0 50590400
2 2 e4540400
2 2 48100200
3 3 ec540400
3 0 78590400
0 2 70550400
1 0 90590400
1 2 20550400
2 0 c8590400
3 0 60590400
3 2 f85b3000
3 0 b0590400
2 0 b0590400
2 0 98590400
3 2 60550400
0 0 10590400
3 0 40590400
1 2 ec540400
0 0 f8580400
1 2 18893100
1 2 1c550400
1 2 1c550400
3 2 1c550400
1 0 48590400
0 0 e0580400
2 0 80590400
2 0 68590400
0 0 c0580400
3 0 90590400
0 2 0c550400
1 3 14c93000
0 3 00de3000
2 0 00590400
2 0 e8580400
3 2 20550400
1 2 1c550400
2 3 20550400
2 3 d8540400
2 2 ec540400
3 2 ec540400
1 3 e8540400
2 3 d4db3000
3 3 1c550400
0 2 20df3100
1 2 20550400
1 3 ec540400
0 0 38590400
3 2 ec540400
2 2 d4eb3000
0 3 60550400
3 2 1c550400
0 2 f4540400
2 2 60550400
2 2 e4540400
0 2 e4540400
2 2 80550400
3 0 48590400
1 0 78590400
2 0 c8580400
1 0 60590400
1 2 1cb93000
0 2 44100200
3 3 785b3000
0 0 c8590400
3 2 1c550400
1 0 b0590400
3 3 e8540400
1 0 98590400
2 0 d0590400
3 2 20550400
0 0 b0590400
2 3 d4cc3100
2 2 ec540400
0 3 ec540400
3 0 50590400
2 3 1c550400
2 0 70590400
0 2 a0550400
0 0 18590400
0 0 00590400
0 0 e8580400
0 3 20550400
0 3 d8540400
